Article ID,Comments,Label(s),Link to Article,Type
43,shopee express do not come to pickup how to do,['Unsure'],https://seller.shopee.sg/edu/article/43/calculate-late-shipment-rate-LSR,article
8495,No link to request compensation. Make more fault for seller to claim from logistics.,['Negative Complaint'],https://seller.shopee.sg/edu/article/8495/damaged-goods-policy,article
9625,It does not contain information on what are the criteria that need to be met in order to be qualified for MPQ option.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
16368,"I dont have the ""Add Images"" option on my Product Description Tab",['Unsure'],https://seller.shopee.sg/edu/article/16368/image-product-description,article
19522,Theres no appeal button where it supposed to be,['Constructive Criticism'],https://seller.shopee.sg/edu/article/19522,article
6867,try to do discount. yet totally different. cancel all discount. ,['Negative Complaint'],https://seller.shopee.sg/edu/article/6867,article
23634,"The team should think along the purchase amount & not by product category for benefit to everyone, be it Shopee, Seller & customer. Thabk you ",['Constructive Criticism'],https://seller.shopee.sg/edu/article/23634?utm_medium=notification&utm_source=appar&__dsrn__=1,article
2554,useless junk,['Negative Complaint'],https://seller.shopee.sg/edu/article/2554,article
20787,System shd send the alert to respective logistic team lead instead of let sellers fill up the form as  often fill up few times also no action fr team!,['Constructive Criticism'],https://seller.shopee.sg/edu/article/20787?utm_medium=notification&utm_source=appar&__dsrn__=1,article
924,"You did not solve my query, this is just a small envelope but I need to pay a postage fee of $0.52, this was not mentioned when I purchased the vouche",['Negative Complaint'],https://seller.shopee.sg/edu/article/924/dispute-shipping-fee-overcharged?csFillToken=841b44f6-4464-4f8d-b1d5-d85697cfca92,article
15373,"article says ""Earnings from your sales will be credited to your Seller Balance within 2 to 7 working days  "" but now agent says upto 25 days",['Negative Complaint'],https://seller.shopee.sg/edu/article/15373/withdrawing-your-income-faq,article
2548,Did not state need to wait how long before a promotion can be set after price increase.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/2548/,article
9625,"It says that this only applies for selected sellers, what about others? Thanks.",['Constructive Criticism'],https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
7775,Hi We don't have a local base in Singapore. Would you please provide the information about how to sell on Shopee? Our brand: vivantwine.com.tw,['Neutral'],https://seller.shopee.sg/edu/article/7775,article
12348,i need a link to raise dispute as I am cross border seller which received my returned parcel after many days,['Neutral'],https://seller.shopee.sg/edu/article/12348/return-refund-dispute-,article
10047,dont have that button,['Negative Complaint'],https://seller.shopee.sg/edu/article/10047,article
15342,"for a costumed product , a small price is only a payment unit, buyers may pay a few unit . so the shoppe is just going lazada management mode. ",['Negative Complaint'],https://seller.shopee.sg/edu/article/15342/cannot-list-products,article
20218,"does not show how the FHR gets tabulated into a % figure. am sending out all orders placed before 2pm within the same day, Mon-sat. But FHR below 90%.","['Constructive Criticism', 'Neutral']",https://seller.shopee.sg/edu/article/20218/Fast-Handover-Rate,article
20335,The information did not inform on where we are still getting 57% chat response rate despite have reply promptly to customer.,['Negative Complaint'],https://seller.shopee.sg/edu/article/20335/improve-chat-response-rate,article
22213,This is way too complicated and so much work for the sellers... please simplify.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/22213,article
2760,pls remove JNT from my shop! thank you ,['Negative Complaint'],https://seller.shopee.sg/edu/article/2760/Fulfilment-policy-for-use-of-non-integrated-channels,article
17220,"And CS keep giving me same excuse for the deletion. I appeal and appeal, give reply me with stanrdard message. I am a  member and buy SGD from NP.",['Negative Complaint'],https://seller.shopee.sg/edu/article/17220,article
14467,I need to find the link on PC since im a Malaysia seller and having Shopee SG on my phone is legally not possible,['Neutral'],https://seller.shopee.sg/edu/article/14467,article
19689,We do not want ndd. We filled a form to opt out. Do not toggle on for us again! We do not want ndd. ,['Negative Complaint'],https://seller.shopee.sg/edu/article/19689,article
17220,Shopee policy needs to be improved. Naturally Plus repeatedly told me they dont provide LOA. and your platform showed biased treatment to other seller,['Negative Complaint'],https://seller.shopee.sg/edu/article/17220,article
22213,"Bullshit policy to please and side with customer, treat your sellers like your business partners, not your working slaves.",['Negative Complaint'],https://seller.shopee.sg/edu/article/22213,article
9625,The information is not updated. My account can no longer set minimum purchase quantity.,['Negative Complaint'],https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
7039,customer want to self pickup from our shop,['Neutral'],https://seller.shopee.sg/edu/article/7039,article
15780,"after customer make payment, the system will immediately send out message saying that ""Thank you for your purchase, we will ship it as soon as possibl",['Neutral'],https://seller.shopee.sg/edu/article/15780/automatic-replies-shopee-seller-chat,article
71,The information did not tell us on how we can select our preferred 3PL partners.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/71/about-shopee-supported-logistics?utm_medium=notification&utm_source=webar,article
22213,Useless implementation. Its going to create more unnecessary issues for logistics. The person who pushed this implementation should reconsider his job,['Negative Complaint'],https://seller.shopee.sg/edu/article/22213,article
6823,Saturday DTS should not be a working day,['Constructive Criticism'],https://seller.shopee.sg/edu/article/6823,article
20218,How can uparcel seller get fast hand over rate when order placed before 2pm must be scanned in 2359 on the same day as uparcel can't do that ,['Constructive Criticism'],https://seller.shopee.sg/edu/article/20218/Fast-Handover-Rate,article
7039,What about frozen products such as seafood and ice-cream?,['Constructive Criticism'],https://seller.shopee.sg/edu/article/7039,article
21808,To adjustment  the commission fee the seller lost  profit margin and these is no benefit for the seller.,['Negative Complaint'],https://seller.shopee.sg/edu/article/21808,article
21808,"I dont understands what does it means by ""Sellers will be able to offer free shipping benefits to buyers at no cost from 5 Sep 2024 onwards.""",['Unsure'],https://seller.shopee.sg/edu/article/21808?utm_medium=notification&utm_source=apppn&__source__=push_notification,article
14005,better to have a function that allows seller to MASS DELETE or MASS DELIST ,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/14005/how-to-delete-a-listing-,article
21808,"Commission Fee had increased so much that causes seller to earn less, who will bear for our packaging tools for it where things keep increasing!",['Negative Complaint'],https://seller.shopee.sg/edu/article/21808,article
14216,not much details,['Neutral'],https://seller.shopee.sg/edu/article/14216/how-to-sell-from-overseas-,article
19403,"Utterly rubbish guidelines, if other 3PL can do a better job, you seriously need to reconsider how your delivery team handles items. Ridiculous.",['Negative Complaint'],https://seller.shopee.sg/edu/article/19403/order-packaging,article
43,shopee express do not come to pickup how to do,['Unsure'],https://seller.shopee.sg/edu/article/43/calculate-late-shipment-rate-LSR,article
8495,No link to request compensation. Make more fault for seller to claim from logistics.,['Negative Complaint'],https://seller.shopee.sg/edu/article/8495/damaged-goods-policy,article
9625,It does not contain information on what are the criteria that need to be met in order to be qualified for MPQ option.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
16368,"I dont have the ""Add Images"" option on my Product Description Tab",['Unsure'],https://seller.shopee.sg/edu/article/16368/image-product-description,article
19522,Theres no appeal button where it supposed to be,['Constructive Criticism'],https://seller.shopee.sg/edu/article/19522,article
6867,try to do discount. yet totally different. cancel all discount. ,['Negative Complaint'],https://seller.shopee.sg/edu/article/6867,article
23634,"The team should think along the purchase amount & not by product category for benefit to everyone, be it Shopee, Seller & customer. Thabk you ",['Constructive Criticism'],https://seller.shopee.sg/edu/article/23634?utm_medium=notification&utm_source=appar&__dsrn__=1,article
2554,useless junk,['Negative Complaint'],https://seller.shopee.sg/edu/article/2554,article
20787,System shd send the alert to respective logistic team lead instead of let sellers fill up the form as  often fill up few times also no action fr team!,['Constructive Criticism'],https://seller.shopee.sg/edu/article/20787?utm_medium=notification&utm_source=appar&__dsrn__=1,article
924,"You did not solve my query, this is just a small envelope but I need to pay a postage fee of $0.52, this was not mentioned when I purchased the vouche",['Negative Complaint'],https://seller.shopee.sg/edu/article/924/dispute-shipping-fee-overcharged?csFillToken=841b44f6-4464-4f8d-b1d5-d85697cfca92,article
15373,"article says ""Earnings from your sales will be credited to your Seller Balance within 2 to 7 working days  "" but now agent says upto 25 days",['Negative Complaint'],https://seller.shopee.sg/edu/article/15373/withdrawing-your-income-faq,article
2548,Did not state need to wait how long before a promotion can be set after price increase.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/2548/,article
9625,"It says that this only applies for selected sellers, what about others? Thanks.",['Constructive Criticism'],https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
7775,Hi We don't have a local base in Singapore. Would you please provide the information about how to sell on Shopee? Our brand: vivantwine.com.tw,['Neutral'],https://seller.shopee.sg/edu/article/7775,article
12348,i need a link to raise dispute as I am cross border seller which received my returned parcel after many days,['Neutral'],https://seller.shopee.sg/edu/article/12348/return-refund-dispute-,article
10047,dont have that button,['Negative Complaint'],https://seller.shopee.sg/edu/article/10047,article
15342,"for a costumed product , a small price is only a payment unit, buyers may pay a few unit . so the shoppe is just going lazada management mode. ",['Negative Complaint'],https://seller.shopee.sg/edu/article/15342/cannot-list-products,article
20218,"does not show how the FHR gets tabulated into a % figure. am sending out all orders placed before 2pm within the same day, Mon-sat. But FHR below 90%.","['Constructive Criticism', 'Neutral']",https://seller.shopee.sg/edu/article/20218/Fast-Handover-Rate,article
20335,The information did not inform on where we are still getting 57% chat response rate despite have reply promptly to customer.,['Negative Complaint'],https://seller.shopee.sg/edu/article/20335/improve-chat-response-rate,article
22213,This is way too complicated and so much work for the sellers... please simplify.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/22213,article
2760,pls remove JNT from my shop! thank you ,['Negative Complaint'],https://seller.shopee.sg/edu/article/2760/Fulfilment-policy-for-use-of-non-integrated-channels,article
17220,"And CS keep giving me same excuse for the deletion. I appeal and appeal, give reply me with stanrdard message. I am a  member and buy SGD from NP.",['Negative Complaint'],https://seller.shopee.sg/edu/article/17220,article
14467,I need to find the link on PC since im a Malaysia seller and having Shopee SG on my phone is legally not possible,['Neutral'],https://seller.shopee.sg/edu/article/14467,article
19689,We do not want ndd. We filled a form to opt out. Do not toggle on for us again! We do not want ndd. ,['Negative Complaint'],https://seller.shopee.sg/edu/article/19689,article
17220,Shopee policy needs to be improved. Naturally Plus repeatedly told me they dont provide LOA. and your platform showed biased treatment to other seller,['Negative Complaint'],https://seller.shopee.sg/edu/article/17220,article
22213,"Bullshit policy to please and side with customer, treat your sellers like your business partners, not your working slaves.",['Negative Complaint'],https://seller.shopee.sg/edu/article/22213,article
9625,The information is not updated. My account can no longer set minimum purchase quantity.,['Negative Complaint'],https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
7039,customer want to self pickup from our shop,['Neutral'],https://seller.shopee.sg/edu/article/7039,article
15780,"after customer make payment, the system will immediately send out message saying that ""Thank you for your purchase, we will ship it as soon as possibl",['Neutral'],https://seller.shopee.sg/edu/article/15780/automatic-replies-shopee-seller-chat,article
71,The information did not tell us on how we can select our preferred 3PL partners.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/71/about-shopee-supported-logistics?utm_medium=notification&utm_source=webar,article
22213,Useless implementation. Its going to create more unnecessary issues for logistics. The person who pushed this implementation should reconsider his job,['Negative Complaint'],https://seller.shopee.sg/edu/article/22213,article
6823,Saturday DTS should not be a working day,['Constructive Criticism'],https://seller.shopee.sg/edu/article/6823,article
20218,How can uparcel seller get fast hand over rate when order placed before 2pm must be scanned in 2359 on the same day as uparcel can't do that ,['Constructive Criticism'],https://seller.shopee.sg/edu/article/20218/Fast-Handover-Rate,article
7039,What about frozen products such as seafood and ice-cream?,['Constructive Criticism'],https://seller.shopee.sg/edu/article/7039,article
21808,To adjustment  the commission fee the seller lost  profit margin and these is no benefit for the seller.,['Negative Complaint'],https://seller.shopee.sg/edu/article/21808,article
21808,"I dont understands what does it means by ""Sellers will be able to offer free shipping benefits to buyers at no cost from 5 Sep 2024 onwards.""",['Unsure'],https://seller.shopee.sg/edu/article/21808?utm_medium=notification&utm_source=apppn&__source__=push_notification,article
14005,better to have a function that allows seller to MASS DELETE or MASS DELIST ,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/14005/how-to-delete-a-listing-,article
21808,"Commission Fee had increased so much that causes seller to earn less, who will bear for our packaging tools for it where things keep increasing!",['Negative Complaint'],https://seller.shopee.sg/edu/article/21808,article
14216,not much details,['Neutral'],https://seller.shopee.sg/edu/article/14216/how-to-sell-from-overseas-,article
19403,"Utterly rubbish guidelines, if other 3PL can do a better job, you seriously need to reconsider how your delivery team handles items. Ridiculous.",['Negative Complaint'],https://seller.shopee.sg/edu/article/19403/order-packaging,article
43,shopee express do not come to pickup how to do,['Unsure'],https://seller.shopee.sg/edu/article/43/calculate-late-shipment-rate-LSR,article
8495,No link to request compensation. Make more fault for seller to claim from logistics.,['Negative Complaint'],https://seller.shopee.sg/edu/article/8495/damaged-goods-policy,article
9625,It does not contain information on what are the criteria that need to be met in order to be qualified for MPQ option.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
16368,"I dont have the ""Add Images"" option on my Product Description Tab",['Unsure'],https://seller.shopee.sg/edu/article/16368/image-product-description,article
19522,Theres no appeal button where it supposed to be,['Constructive Criticism'],https://seller.shopee.sg/edu/article/19522,article
